,年,日期,最低温度,最高温度,夜间风力,夜间风向,白天风力,白天风向,夜间天气,白天天气
0,2023,2023-05-01,17.0,29.0,1-2级,东南风,1-2级,东南风,晴,多云
1,2023,2023-05-02,18.0,25.0,1-2级,东南风,1-2级,东南风,晴,小雨
2,2023,2023-05-03,21.0,27.0,1-2级,南风,1-2级,东南风,小雨,小雨
3,2023,2023-05-04,21.0,30.0,3-4级,南风,3-4级,南风,小雨,中雨
4,2023,2023-05-05,17.0,25.0,3-4级,西南风,3-4级,西风,中雨,阴
5,2023,2023-05-06,15.0,23.0,1-2级,北风,1-2级,北风,小雨,小雨
6,2023,2023-05-07,15.0,17.0,3-4级,西北风,3-4级,北风,小雨,阴
7,2023,2023-05-08,13.0,19.0,3-4级,东北风,1-2级,北风,多云,晴
8,2023,2023-05-09,14.0,23.0,3-4级,东风,1-2级,东南风,晴,阴
9,2023,2023-05-10,15.0,23.0,1-2级,东风,1-2级,东风,多云,阴
10,2023,2023-05-11,16.0,21.0,1-2级,东风,1-2级,东南风,阴,阴
11,2023,2023-05-12,17.0,24.0,1-2级,东南风,1-2级,东南风,阴,多云
12,2023,2023-05-13,19.0,29.0,3-4级,西风,1-2级,西南风,多云,阴
13,2023,2023-05-14,21.0,32.0,1-2级,西北风,1-2级,西南风,晴,晴
14,2023,2023-05-15,21.0,34.0,1-2级,西南风,1-2级,南风,晴,晴
15,2023,2023-05-16,20.0,31.0,3-4级,南风,3-4级,东南风,阴,小雨
16,2023,2023-05-17,20.0,22.0,3-4级,东南风,1-2级,东南风,中雨,小雨
17,2023,2023-05-18,18.0,24.0,3-4级,北风,1-2级,北风,阴,阴
18,2023,2023-05-19,17.0,25.0,1-2级,东风,1-2级,东南风,阴,阴
19,2023,2023-05-20,18.0,25.0,3-4级,东南风,3-4级,东南风,多云,晴
20,2023,2023-05-21,19.0,26.0,3-4级,东南风,3-4级,东北风,小雨,小雨
21,2023,2023-05-22,14.0,20.0,3-4级,东北风,3-4级,北风,小雨,阴
22,2023,2023-05-23,17.0,26.0,3-4级,东北风,3-4级,东南风,多云,多云
23,2023,2023-05-24,17.0,21.0,3-4级,东南风,3-4级,东南风,小雨,多云
24,2023,2023-05-25,21.0,27.0,3-4级,南风,3-4级,东南风,多云,阴
25,2023,2023-05-26,21.0,28.0,1-2级,东南风,1-2级,东南风,多云,小雨
26,2023,2023-05-27,22.0,26.0,3-4级,南风,3-4级,南风,小雨,阴
27,2023,2023-05-28,23.0,30.0,3-4级,南风,3-4级,东南风,小雨,小雨
28,2023,2023-05-29,24.0,34.0,3-4级,南风,1-2级,东北风,小雨,小雨
29,2023,2023-05-30,22.0,28.0,3-4级,东北风,3-4级,北风,阴,阴
30,2023,2023-05-31,22.0,28.0,3-4级,东风,1-2级,东风,多云,多云
